Month;FRA District;FRA Safety Management Team;Holding Company;Parent Railroad;Railroad;Railroad Class;Year;Calendar Year;Fiscal Year;Railroad Concat;Railroadcode;Railroadname;Reporting Parent Railroad Code;Reporting Parent Railroad Name;reporting_railroad_class;Employee Hours Worked;Number of Passengers Transported;Passenger Miles;Reports;Total Train Miles;Yard Switching Miles
Sep;1;SMT-2 - Short Line East;Not Assigned;Finger Lakes Railway Corporation [FGLK];Finger Lakes Railway Corporation [FGLK];Class III;2025;2025;2025;Finger Lakes Railway Corporation [FGLK];FGLK;Finger Lakes Railway Corporation;FGLK;Finger Lakes Railway Corporation;Class III;9 089;;0;1;5 451;811
Sep;1;SMT-2 - Short Line East;Not Assigned;New York, Susquehanna & Western Railroad Company [NYSW];Central New York Railroad Corporation [CNYK];Class III;2025;2025;2025;Central New York Railroad Corporation [CNYK];CNYK;Central New York Railroad Corporation;NYSW;New York, Susquehanna & Western Railroad Company;Class III;;;0;1;;
Sep;1;SMT-2 - Short Line East;Not Assigned;New York, Susquehanna & Western Railroad Company [NYSW];New York, Susquehanna & Western Railroad Company [NYSW];Class III;2025;2025;2025;New York, Susquehanna & Western Railroad Company [NYSW];NYSW;New York, Susquehanna & Western Railroad Company;NYSW;New York, Susquehanna & Western Railroad Company;Class III;18 161;;0;1;10 077;1 556
Sep;1;SMT-2 - Short Line East;Not Assigned;SYRACUSE BINGHAMPTON AND NEW YORK RAILROAD [SBNX];SYRACUSE BINGHAMPTON AND NEW YORK RAILROAD [SBNX];Class III;2025;2025;2025;SYRACUSE BINGHAMPTON AND NEW YORK RAILROAD [SBNX];SBNX;SYRACUSE BINGHAMPTON AND NEW YORK RAILROAD;SBNX;SYRACUSE BINGHAMPTON AND NEW YORK RAILROAD;Class III;;;0;1;;
Sep;1;SMT-2 - Short Line East;Not Assigned;PORT LIBERTY CONTAINER TERMINAL EXPRESS RAIL [PLCT];PORT LIBERTY CONTAINER TERMINAL EXPRESS RAIL [PLCT];Class III;2025;2025;2025;PORT LIBERTY CONTAINER TERMINAL EXPRESS RAIL [PLCT];PLCT;PORT LIBERTY CONTAINER TERMINAL EXPRESS RAIL;PLCT;PORT LIBERTY CONTAINER TERMINAL EXPRESS RAIL;Class III;480;;0;1;50;50
Sep;1;SMT-2 - Short Line East;Not Assigned;Brookhaven Rail, LLC [BHR];Brookhaven Rail, LLC [BHR];Class III;2025;2025;2025;Brookhaven Rail, LLC [BHR];BHR;Brookhaven Rail, LLC;BHR;Brookhaven Rail, LLC;Class III;391;;0;1;39;
Sep;1;SMT-2 - Short Line East;Not Assigned;Rail Explorers [REXP];Rail Explorers [REXP];Class III;2025;2025;2025;Rail Explorers [REXP];REXP;Rail Explorers;REXP;Rail Explorers;Class III;2 337;4 191;42752;1;753;1
Sep;1;SMT-2 - Short Line East;Not Assigned;Batten Kill Railroad [BKRR];Batten Kill Railroad [BKRR];Class III;2025;2025;2025;Batten Kill Railroad [BKRR];BKRR;Batten Kill Railroad;BKRR;Batten Kill Railroad;Class III;706;;0;1;155;5
Sep;1;SMT-2 - Short Line East;Not Assigned;Arcade & Attica Railroad Corporation [ARA];Arcade & Attica Railroad Corporation [ARA];Class III;2025;2025;2025;Arcade & Attica Railroad Corporation [ARA];ARA;Arcade & Attica Railroad Corporation;ARA;Arcade & Attica Railroad Corporation;Class III;970;1 834;25616;1;394;
Sep;1;SMT-2 - Short Line East;Not Assigned;Seaview Transportation Co., Inc. [SVTX];Seaview Transportation Co., Inc. [SVTX];Class III;2025;2025;2025;Seaview Transportation Co., Inc. [SVTX];SVTX;Seaview Transportation Co., Inc.;SVTX;Seaview Transportation Co., Inc.;Class III;672;;0;1;395;395
