"","Commodity Group","Commodity Group Code","Originated","Received","Year","Week","Company"
"185","Iron & Steel Scrap","I",577,113,2025,2025-12-31,"UP"
"186","Lumber & Wood Products","J",780,461,2025,2025-12-31,"UP"
"187","Metallic Ores","K",186,25,2025,2025-12-31,"UP"
"188","Metal Products","L",1134,1288,2025,2025-12-31,"UP"
"189","Motor Vehicles & Equipment","M",1540,4786,2025,2025-12-31,"UP"
"190","Nonmetallic Minerals","N",358,226,2025,2025-12-31,"UP"
"191","Petroleum Products","O",2766,1458,2025,2025-12-31,"UP"
"192","Primary Forest Products","P",192,245,2025,2025-12-31,"UP"
"193","Pulp & Paper Products","Q",771,701,2025,2025-12-31,"UP"
"194","Stone, Clay, Glass","R",1624,317,2025,2025-12-31,"UP"
"195","Waste & Other Scrap","S",367,182,2025,2025-12-31,"UP"
"196","All Other","T",1936,808,2025,2025-12-31,"UP"
"197","Containers","U",42795,6710,2025,2025-12-31,"UP"
"198","Trailers","V",874,11,2025,2025-12-31,"UP"
"199","Chemicals","A",17545,3116,2025,2025-12-24,"UP"
"200","Coal","B",8387,7,2025,2025-12-24,"UP"
"201","Coke","C",802,48,2025,2025-12-24,"UP"
"202","Crushed Stone, Sand & Gravel","D",8469,53,2025,2025-12-24,"UP"
"203","Farm Products","E",231,109,2025,2025-12-24,"UP"
"204","Food & Kindred Products","F",2428,1488,2025,2025-12-24,"UP"
"205","Grain Mill Products","G",3941,402,2025,2025-12-24,"UP"
"206","Grain","H",6682,1954,2025,2025-12-24,"UP"
"207","Iron & Steel Scrap","I",945,142,2025,2025-12-24,"UP"
"208","Lumber & Wood Products","J",1267,529,2025,2025-12-24,"UP"
"209","Metallic Ores","K",225,69,2025,2025-12-24,"UP"
"210","Metal Products","L",1316,1105,2025,2025-12-24,"UP"
"211","Motor Vehicles & Equipment","M",2330,6230,2025,2025-12-24,"UP"
"212","Nonmetallic Minerals","N",479,142,2025,2025-12-24,"UP"
"213","Petroleum Products","O",3490,1588,2025,2025-12-24,"UP"
"214","Primary Forest Products","P",383,87,2025,2025-12-24,"UP"
"215","Pulp & Paper Products","Q",857,800,2025,2025-12-24,"UP"
"216","Stone, Clay, Glass","R",2503,503,2025,2025-12-24,"UP"
"217","Waste & Other Scrap","S",532,232,2025,2025-12-24,"UP"
"218","All Other","T",-4915,831,2025,2025-12-24,"UP"
"219","Containers","U",62230,10014,2025,2025-12-24,"UP"
"220","Trailers","V",1638,16,2025,2025-12-24,"UP"
"221","Chemicals","A",17202,3009,2025,2025-12-17,"UP"
"222","Coal","B",15447,147,2025,2025-12-17,"UP"
"223","Coke","C",659,74,2025,2025-12-17,"UP"
"224","Crushed Stone, Sand & Gravel","D",7520,51,2025,2025-12-17,"UP"
"225","Farm Products","E",272,113,2025,2025-12-17,"UP"
"226","Food & Kindred Products","F",2360,1695,2025,2025-12-17,"UP"
"227","Grain Mill Products","G",3748,340,2025,2025-12-17,"UP"
"228","Grain","H",5908,1230,2025,2025-12-17,"UP"
"229","Iron & Steel Scrap","I",942,175,2025,2025-12-17,"UP"
"230","Lumber & Wood Products","J",1167,428,2025,2025-12-17,"UP"
"231","Metallic Ores","K",237,46,2025,2025-12-17,"UP"
"232","Metal Products","L",1213,1285,2025,2025-12-17,"UP"
"233","Motor Vehicles & Equipment","M",2441,6017,2025,2025-12-17,"UP"
"234","Nonmetallic Minerals","N",500,201,2025,2025-12-17,"UP"
"235","Petroleum Products","O",3655,1711,2025,2025-12-17,"UP"
"236","Primary Forest Products","P",332,183,2025,2025-12-17,"UP"
"237","Pulp & Paper Products","Q",919,824,2025,2025-12-17,"UP"
"238","Stone, Clay, Glass","R",2385,416,2025,2025-12-17,"UP"
"239","Waste & Other Scrap","S",543,157,2025,2025-12-17,"UP"
"240","All Other","T",2995,977,2025,2025-12-17,"UP"
"241","Containers","U",63999,10694,2025,2025-12-17,"UP"
"242","Trailers","V",1792,32,2025,2025-12-17,"UP"
"243","Chemicals","A",17984,3430,2025,2025-12-10,"UP"
"244","Coal","B",13506,136,2025,2025-12-10,"UP"
"245","Coke","C",560,63,2025,2025-12-10,"UP"
"246","Crushed Stone, Sand & Gravel","D",7646,40,2025,2025-12-10,"UP"
"247","Farm Products","E",236,89,2025,2025-12-10,"UP"
"248","Food & Kindred Products","F",2482,1581,2025,2025-12-10,"UP"
"249","Grain Mill Products","G",4014,442,2025,2025-12-10,"UP"
"250","Grain","H",7239,1281,2025,2025-12-10,"UP"
"251","Iron & Steel Scrap","I",750,161,2025,2025-12-10,"UP"
"252","Lumber & Wood Products","J",1230,538,2025,2025-12-10,"UP"
"253","Metallic Ores","K",343,49,2025,2025-12-10,"UP"
"254","Metal Products","L",1475,1133,2025,2025-12-10,"UP"
"255","Motor Vehicles & Equipment","M",2472,5069,2025,2025-12-10,"UP"
"256","Nonmetallic Minerals","N",430,156,2025,2025-12-10,"UP"
"257","Petroleum Products","O",3403,2044,2025,2025-12-10,"UP"
"258","Primary Forest Products","P",370,62,2025,2025-12-10,"UP"
"259","Pulp & Paper Products","Q",885,958,2025,2025-12-10,"UP"
"260","Stone, Clay, Glass","R",2477,476,2025,2025-12-10,"UP"
"261","Waste & Other Scrap","S",519,222,2025,2025-12-10,"UP"
"262","All Other","T",2640,679,2025,2025-12-10,"UP"
"263","Containers","U",64595,8619,2025,2025-12-10,"UP"
"264","Trailers","V",1646,29,2025,2025-12-10,"UP"
"265","Chemicals","A",16094,3475,2025,2025-12-03,"UP"
"266","Coal","B",14297,166,2025,2025-12-03,"UP"
"267","Coke","C",847,106,2025,2025-12-03,"UP"
"268","Crushed Stone, Sand & Gravel","D",5709,55,2025,2025-12-03,"UP"
"269","Farm Products","E",186,143,2025,2025-12-03,"UP"
"270","Food & Kindred Products","F",2095,1955,2025,2025-12-03,"UP"
"271","Grain Mill Products","G",3778,533,2025,2025-12-03,"UP"
"272","Grain","H",5366,1603,2025,2025-12-03,"UP"
"273","Iron & Steel Scrap","I",641,137,2025,2025-12-03,"UP"
"274","Lumber & Wood Products","J",978,489,2025,2025-12-03,"UP"
"275","Metallic Ores","K",180,48,2025,2025-12-03,"UP"
"276","Metal Products","L",1050,1147,2025,2025-12-03,"UP"
"277","Motor Vehicles & Equipment","M",1613,6015,2025,2025-12-03,"UP"
"278","Nonmetallic Minerals","N",663,157,2025,2025-12-03,"UP"
"279","Petroleum Products","O",2828,1677,2025,2025-12-03,"UP"
"280","Primary Forest Products","P",274,170,2025,2025-12-03,"UP"
"281","Pulp & Paper Products","Q",688,692,2025,2025-12-03,"UP"
"282","Stone, Clay, Glass","R",2116,554,2025,2025-12-03,"UP"
"283","Waste & Other Scrap","S",382,248,2025,2025-12-03,"UP"
"284","All Other","T",1968,1001,2025,2025-12-03,"UP"
"285","Containers","U",50023,9108,2025,2025-12-03,"UP"
"286","Trailers","V",1142,9,2025,2025-12-03,"UP"
"287","Chemicals","A",18439,3071,2025,2025-11-26,"UP"
"288","Coal","B",12751,167,2025,2025-11-26,"UP"
"289","Coke","C",785,78,2025,2025-11-26,"UP"
"290","Crushed Stone, Sand & Gravel","D",8661,12,2025,2025-11-26,"UP"
"291","Farm Products","E",254,94,2025,2025-11-26,"UP"
"292","Food & Kindred Products","F",2481,1437,2025,2025-11-26,"UP"
"293","Grain Mill Products","G",3445,301,2025,2025-11-26,"UP"
"294","Grain","H",6909,1540,2025,2025-11-26,"UP"
"295","Iron & Steel Scrap","I",1072,121,2025,2025-11-26,"UP"
"296","Lumber & Wood Products","J",1356,431,2025,2025-11-26,"UP"
"297","Metallic Ores","K",315,108,2025,2025-11-26,"UP"
"298","Metal Products","L",1160,1134,2025,2025-11-26,"UP"
"299","Motor Vehicles & Equipment","M",2474,6228,2025,2025-11-26,"UP"
"300","Nonmetallic Minerals","N",1178,197,2025,2025-11-26,"UP"
"301","Petroleum Products","O",3220,2107,2025,2025-11-26,"UP"
"302","Primary Forest Products","P",305,178,2025,2025-11-26,"UP"
"303","Pulp & Paper Products","Q",849,862,2025,2025-11-26,"UP"
"304","Stone, Clay, Glass","R",2645,578,2025,2025-11-26,"UP"
"305","Waste & Other Scrap","S",568,280,2025,2025-11-26,"UP"
"306","All Other","T",2731,1203,2025,2025-11-26,"UP"
"307","Containers","U",63192,9868,2025,2025-11-26,"UP"
"308","Trailers","V",1512,11,2025,2025-11-26,"UP"
"309","Chemicals","A",18068,3582,2025,2025-11-19,"UP"
"310","Coal","B",12672,162,2025,2025-11-19,"UP"
"311","Coke","C",633,116,2025,2025-11-19,"UP"
"312","Crushed Stone, Sand & Gravel","D",8761,33,2025,2025-11-19,"UP"
"313","Farm Products","E",243,95,2025,2025-11-19,"UP"
"314","Food & Kindred Products","F",2553,1507,2025,2025-11-19,"UP"
"315","Grain Mill Products","G",3906,388,2025,2025-11-19,"UP"
"316","Grain","H",6825,1835,2025,2025-11-19,"UP"
"317","Iron & Steel Scrap","I",912,126,2025,2025-11-19,"UP"
"318","Lumber & Wood Products","J",1095,536,2025,2025-11-19,"UP"
"319","Metallic Ores","K",360,89,2025,2025-11-19,"UP"
"320","Metal Products","L",1110,1156,2025,2025-11-19,"UP"
"321","Motor Vehicles & Equipment","M",2163,5307,2025,2025-11-19,"UP"
"322","Nonmetallic Minerals","N",891,183,2025,2025-11-19,"UP"
"323","Petroleum Products","O",3386,1984,2025,2025-11-19,"UP"
"324","Primary Forest Products","P",346,165,2025,2025-11-19,"UP"
"325","Pulp & Paper Products","Q",769,852,2025,2025-11-19,"UP"
"326","Stone, Clay, Glass","R",2929,630,2025,2025-11-19,"UP"
"327","Waste & Other Scrap","S",582,286,2025,2025-11-19,"UP"
"328","All Other","T",2485,1160,2025,2025-11-19,"UP"
"329","Containers","U",60300,10125,2025,2025-11-19,"UP"
